tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
1.29729,-0.0363045,-0.488889,-0.411632,-2.99746,-1.08828,0.760717,0.883987,5.1207,5.535,5.24366,4.49251,0,0,0,0,0,0,0,0,0,0,0,0,0.0288601,-0.0644663,0.0817262,-0.0714622,0.876135,0.826788,0.980623,0.979012,-1.59816,-1.55814,-1.60068,-1.59003,0.0812263,-0.0655689,0.0630665,-0.0870785,0.756747,0.785153,1.01049,1.01574,-1.39437,-1.33975,-1.39016,-1.41213,0.0237356,0.0174776,0.0447947,0.0424451,0.0255099,0.0948178,-0.0282849,0.0684214,-0.0515884,-0.15075,0.0386833,-0.0902784,
1.31688,-0.13469,-0.481437,-0.507109,-2.98819,-1.11958,0.776206,0.832511,4.95129,5.56126,5.19825,4.59637,0,0,0,0,0,0,0,0,0,0,0,0,0.0294958,-0.0639678,0.082703,-0.0705368,0.876716,0.828784,0.980059,0.980361,-1.59939,-1.56151,-1.59998,-1.59197,0.0829573,-0.0687101,0.0645089,-0.0898177,0.757821,0.78607,1.01064,1.01508,-1.40259,-1.34259,-1.39142,-1.41018,0.0393242,0.032268,0.0531696,0.050173,0.031644,0.103498,-0.0234305,0.0709761,-0.0625745,-0.176205,0.0312493,-0.10341,
1.21077,-0.092996,-0.464903,-0.457816,-3.07427,-1.21718,0.772608,0.872474,5.15638,5.77429,5.19246,4.63659,0,0,0,0,0,0,0,0,0,0,0,0,0.0303354,-0.063282,0.0837304,-0.0695725,0.877395,0.831004,0.979551,0.981797,-1.60076,-1.56545,-1.59931,-1.59419,0.0795248,-0.0663977,0.065966,-0.0871057,0.755059,0.784453,1.00986,1.01791,-1.39592,-1.33854,-1.39091,-1.41084,0.0379358,0.0302044,0.0415884,0.0389701,0.0317941,0.106842,-0.0296984,0.0607474,-0.0707151,-0.202742,0.0348722,-0.105679,
1.2514,-0.140963,-0.50302,-0.517409,-3.06448,-1.21458,0.765723,0.799244,4.95293,5.87141,5.12421,4.70992,0,0,0,0,0,0,0,0,0,0,0,0,0.0310902,-0.0626789,0.084474,-0.068875,0.877971,0.833101,0.978919,0.982933,-1.60206,-1.56954,-1.59854,-1.59627,0.0819255,-0.0676803,0.0650719,-0.0888958,0.755899,0.786557,1.00895,1.01604,-1.40501,-1.33861,-1.39275,-1.40991,0.0389632,0.0318555,0.0359369,0.0337785,0.0253691,0.101955,-0.0299398,0.0570646,-0.0532441,-0.196197,0.041313,-0.102044,
1.23567,-0.16945,-0.52514,-0.537227,-2.97744,-1.19018,0.764304,0.77191,5.06781,6.12883,5.13589,4.78133,0,0,0,0,0,0,0,0,0,0,0,0,0.0319228,-0.0619787,0.0851724,-0.0682093,0.878398,0.835023,0.978283,0.983947,-1.60295,-1.57331,-1.59762,-1.59816,0.0822507,-0.0679823,0.0648522,-0.0890318,0.759646,0.789213,1.00813,1.01563,-1.40105,-1.33185,-1.39116,-1.4086,0.0450536,0.0387191,0.0342731,0.0333279,0.0172946,0.0898778,-0.0363546,0.0403919,-0.0402533,-0.18488,0.0511169,-0.0848567,
1.22033,-0.199404,-0.560244,-0.512802,-3.02248,-1.27942,0.757274,0.794974,5.02829,6.13284,5.10763,4.81076,0,0,0,0,0,0,0,0,0,0,0,0,0.0328856,-0.0611342,0.0858076,-0.0675789,0.878653,0.836728,0.977488,0.984606,-1.60353,-1.57691,-1.59642,-1.59968,0.0826117,-0.0682899,0.0639171,-0.0875647,0.757892,0.787009,1.00707,1.01693,-1.40258,-1.33465,-1.39087,-1.40847,0.0456529,0.0410226,0.0259626,0.0263105,0.00693282,0.0729051,-0.0356882,0.0264131,-0.00919661,-0.152625,0.0623463,-0.061121,
1.20376,-0.183789,-0.54273,-0.548553,-3.03031,-1.29683,0.782229,0.767742,5.1102,6.2405,5.05119,4.74518,0,0,0,0,0,0,0,0,0,0,0,0,0.0337368,-0.0603549,0.0861845,-0.0671805,0.878659,0.837999,0.976779,0.985012,-1.60331,-1.57956,-1.59502,-1.60065,0.0826692,-0.0669791,0.0647155,-0.0888469,0.757324,0.787224,1.00733,1.01599,-1.39836,-1.33225,-1.39143,-1.41157,0.0390926,0.0363652,0.0120145,0.0137886,-0.00614052,0.0548943,-0.0370837,0.0132703,0.0273035,-0.115773,0.0772531,-0.0363275,
1.22153,-0.2627,-0.562635,-0.555606,-2.92657,-1.26268,0.750688,0.764274,4.87648,6.22669,4.98619,4.79356,0,0,0,0,0,0,0,0,0,0,0,0,0.0344958,-0.0596273,0.0862895,-0.0670332,0.878401,0.838962,0.97614,0.985282,-1.60222,-1.58146,-1.59335,-1.60124,0.0840413,-0.069455,0.0637698,-0.0892337,0.761007,0.789222,1.00578,1.01619,-1.40561,-1.33369,-1.39233,-1.40995,0.0342204,0.0340127,-0.000720102,0.00119105,-0.0165391,0.0383777,-0.0194202,0.0167415,0.0773738,-0.0648834,0.0783863,-0.023049,
1.10945,-0.242002,-0.517615,-0.446422,-3.07018,-1.37261,0.720591,0.787861,4.90752,6.34709,4.97632,4.84843,0,0,0,0,0,0,0,0,0,0,0,0,0.0351436,-0.0589646,0.0861676,-0.0671181,0.878032,0.839601,0.975929,0.985632,-1.60035,-1.58237,-1.59183,-1.60158,0.0801347,-0.0680052,0.0652494,-0.0851507,0.754831,0.785233,1.00464,1.01746,-1.40201,-1.32916,-1.3913,-1.40788,0.0306536,0.0319725,-0.0106771,-0.0087889,-0.019701,0.0268346,-0.00538896,0.0154322,0.102124,-0.0335689,0.0736628,-0.0117683,
1.07518,-0.208592,-0.518674,-0.526015,-2.95476,-1.3588,0.708202,0.725848,4.8103,6.26022,4.88579,4.71664,0,0,0,0,0,0,0,0,0,0,0,0,0.0358042,-0.0582652,0.0859661,-0.0672776,0.877615,0.839994,0.9759,0.985852,-1.59817,-1.58274,-1.5904,-1.60164,0.0796209,-0.0657458,0.0651775,-0.0883086,0.758947,0.785848,1.00421,1.01497,-1.40344,-1.33231,-1.39351,-1.41277,0.040482,0.0431505,-0.00208145,0.000479912,-0.0238783,0.0102763,-0.00107736,0.00445728,0.116077,0.00107159,0.0728197,0.0101395,
